,District Name,January,February,March,April,May,June,July,August,September,October,November,December
0,Sangli 2010,82.325,0.525,15.625,14.375,9.45,5.325,10.0,4.85,14.95,46.075,13.9,29.525
1,Solapur 2010,82.325,0.525,15.625,14.375,9.45,5.325,10.0,4.85,14.95,46.075,13.9,29.525
2,Kolhapur 2010,78.25,2.3,8.125,11.525,12.0,7.725,23.15,14.975,30.95,60.25,6.925,27.475
3,Osmanabad 2010,79.475,0.05,16.025,13.475,10.375,8.0,10.2,7.874999999999999,14.5,42.7,17.425,27.9
4,Satara 2010,82.325,0.525,15.625,14.375,9.45,5.325,10.0,4.85,14.95,46.075,13.9,29.525
5,Jalna 2010,85.07499999999999,1.525,15.75,13.375,12.45,9.325,11.15,10.75,16.7,44.85,21.3,27.475
6,Dhule 2010,73.6,1.95,16.875,15.899999999999999,11.0,9.025,12.35,9.325,17.325,45.225,17.25,28.85
7,Aurangabad 2010,80.75,1.2750000000000001,15.85,14.0,11.75,9.1,11.4,9.975,16.45,44.55,19.65,27.75
8,Barddhaman 2010,74.25,1.325,14.775,14.3,10.975,8.725,11.35,8.775,15.825,43.575,17.2,26.475
9,Sitamarhi 2010,37.475,29.049999999999997,35.9,28.825,36.1,51.475,82.425,37.8,34.175,61.275000000000006,36.4,29.05
10,Samastipur 2010,52.0,18.375,30.3,20.725,24.349999999999998,45.35,53.525,25.3,28.95,59.375,33.2,30.45
11,Muzaffarpur 2010,37.475,29.049999999999997,35.9,28.825,36.1,51.475,82.425,37.8,34.175,61.275000000000006,36.4,29.05
12,Khagaria 2010,52.0,18.375,30.3,20.725,24.349999999999998,45.35,53.525,25.3,28.95,59.375,33.2,30.45
13,Begusarai 2010,52.0,18.375,30.3,20.725,24.349999999999998,45.35,53.525,25.3,28.95,59.375,33.2,30.45
14,Paschim Champaran 2010,22.200000000000003,37.35,42.949999999999996,38.5,46.525,57.3,113.35,48.825,38.925,62.125,41.175,28.925
15,Malkangiri 2010,85.75,1.275,15.575000000000001,12.95,12.5,9.475000000000001,11.05,11.25,16.775,44.400000000000006,21.35,27.0
16,Koraput 2010,85.75,1.275,15.575000000000001,12.95,12.5,9.475000000000001,11.05,11.25,16.775,44.400000000000006,21.35,27.0
17,Bargarh 2010,80.4,1.3,15.399999999999999,13.925,11.65,8.825,11.15,9.399999999999999,16.125,44.5,19.4,27.375
18,Rayagada 2010,88.875,2.775,15.375,13.65,13.025,8.625,10.45,10.325,16.400000000000002,45.625,22.6,27.325000000000003
19,Varanasi 2010,52.0,18.375,30.3,20.725,24.349999999999998,45.35,53.525,25.3,28.95,59.375,33.2,30.45
20,Chandauli 2010,52.0,18.375,30.3,20.725,24.349999999999998,45.35,53.525,25.3,28.95,59.375,33.2,30.45
21,Fatehabad 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
22,Ambala 2010,21.275,39.475,41.65,31.275000000000002,44.85,33.55,102.575,39.675000000000004,50.2,59.1,39.95,35.15
23,Gurdaspur 2010,21.95,34.375,40.45,24.925,40.35,38.875,104.1,68.575,56.2,72.6,41.575,27.674999999999997
24,Rewari 2010,22.55,39.725,48.5,39.7,47.3,51.349999999999994,108.77499999999999,50.8,43.275,62.075,46.575,30.325
25,Bhiwani 2010,22.55,39.725,48.5,39.7,47.3,51.349999999999994,108.77499999999999,50.8,43.275,62.075,46.575,30.325
26,Kurukshetra 2010,21.275,39.475,41.65,31.275000000000002,44.85,33.55,102.575,39.675000000000004,50.2,59.1,39.95,35.15
27,Jhajjar 2010,22.55,39.725,48.5,39.7,47.3,51.349999999999994,108.77499999999999,50.8,43.275,62.075,46.575,30.325
28,Jind 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
29,Kaithal 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
30,Panipat 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
31,Saharanpur 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
32,Muzaffarnagar 2010,20.925,46.9,51.75,36.925,46.9,43.9,106.525,45.25,49.425,58.475,51.425,30.9
