District Name,State,Lat Min,Lat Max,Long Min,Long Max
Sangli,Maharashtra,,,,
Solapur,Maharashtra,,,,
Kolhapur,Maharashtra,,,,
Osmanabad,Maharashtra,,,,
Satara,Maharashtra,,,,
Jalna,Maharashtra,,,,
Dhule,Maharashtra,,,,
Aurangabad,Maharashtra,,,,
Barddhaman,West Bengal,,,,
Sitamarhi,Bihar,,,,
Samastipur,Bihar,,,,
Muzaffarpur,Bihar,,,,
Khagaria,Bihar,,,,
Begusarai,Bihar,,,,
Paschim Champaran,Bihar,,,,
Malkangiri,Orissa,,,,
Koraput,Orissa,,,,
Bargarh,Orissa,,,,
Rayagada,Orissa,,,,
Varanasi,Uttar Pradesh,,,,
Chandauli,Uttar Pradesh,,,,
Fatehabad,Haryana,,,,
Ambala,Haryana,,,,
Gurdaspur,Punjab,,,,
Rewari,Haryana,,,,
Bhiwani,Haryana,,,,
Kurukshetra,Haryana,,,,
Jhajjar,Haryana,,,,
Jind,Haryana,,,,
Kaithal,Haryana,,,,
Panipat,Haryana,,,,
Saharanpur,Uttar Pradesh,,,,
Muzaffarnagar,Uttar Pradesh,,,,
Panchsheel nagar,Uttar Pradesh,,,,
Nirmal,Telangana,,,,
Siddipet,Telangana,,,,
East Godavari,Andhra Pradesh,,,,
Dausa,Rajasthan,,,,
Bharatpur,Rajasthan,,,,
Ajmer,Rajasthan,,,,
Banaskantha,Gujarat,,,,
Patan,Gujarat,,,,
Sabarkantha,Gujarat,,,,
Gandhinagar,Gujarat,,,,
Mehsana,Gujarat,,,,
Aravalli,Gujarat,,,,
Junagadh,Gujarat,,,,
Jamnagar,Gujarat,,,,
Rajkot,Gujarat,,,,
Surendranagar,Gujarat,,,,
Gir Somnath,Gujarat,,,,
